Statistik,Gebiet,Geschlecht,Jahr,Alter,Kalenderwoche,Sterbefaelle,Qualitaetskennzeichen
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,17,191,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,17,486,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,17,776,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,17,1138,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,17,1443,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,17,1742,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,17,2382,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,17,3913,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,17,3490,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,17,2507,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,17,1104,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,18,19329,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,18,148,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,18,52,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,18,94,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,18,153,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,18,208,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,18,434,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,18,782,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,18,1117,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,18,1421,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,18,1788,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,18,2274,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,18,3765,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,18,3563,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,18,2471,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,18,1059,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,19,18579,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,19,131,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,19,42,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,19,98,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,19,124,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,19,195,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,19,385,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,19,696,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,19,1003,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,19,1397,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,19,1729,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,19,2167,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,19,3694,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,19,3364,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,19,2504,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,19,1050,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,20,17811,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,20,150,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,20,55,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,20,79,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,20,117,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,20,190,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,50-54,20,399,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,55-59,20,742,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,60-64,20,1010,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,65-69,20,1356,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,70-74,20,1703,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,75-79,20,2024,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,80-84,20,3474,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,85-89,20,3238,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,90-94,20,2298,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,95+,20,976,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,Insgesamt,21,17193,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,0-29,21,144,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,30-34,21,49,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,35-39,21,76,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,40-44,21,96,e
Statistik der Sterbefälle,Deutschland,Insgesamt,2021,45-49,21,178,e
