year,month,icd10_code,icd10_desc,value
2009,Mär,D50-D89,KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,179
2009,Mär,E00-E90,"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten",2548
2009,Mär,E10-E14,Diabetes mellitus,2076
2009,Mär,F00-F99,KAPITEL V: Psychische und Verhaltensstörungen,1883
2009,Mär,F10-F19,Psychische und Verhaltensstörungen durch psychotrope Substanzen,474
2009,Mär,F10,Psychische und Verhaltensstörungen durch Alkohol,380
2009,Mär,G00-G99,KAPITEL VI: Krankheiten des Nervensystems,1789
2009,Mär,I00-I99,KAPITEL IX: Krankheiten des Kreislaufsystems,32574
2009,Mär,I10-I15,Hypertonie (Hochdruckkrankheit),2851
2009,Mär,I20-I25,Ischämische Herzkrankheiten,12346
2009,Mär,I21,Akuter Myokardinfarkt,5066
2009,Mär,I22,Rezidivierender Myokardinfarkt,349
2009,Mär,I30-I52,Sonstige Formen der Herzkrankheit,8486
2009,Mär,I60-I69,Zerebrovaskuläre Krankheiten,5697
2009,Mär,I64,"Schlaganfall, nicht als Blutung oder Infarkt bez.",2336
2009,Mär,I70-I79,"Krankheiten der Arterien, Arteriolen und Kapillaren",1868
2009,Mär,J00-J99,KAPITEL X: Krankheiten des Atmungssystems,6214
2009,Mär,J00-J06,Akute Infektionen der oberen Atemwege,16
2009,Mär,J10-J18,Grippe und Pneumonie,2173
2009,Mär,J10,Grippe durch nachgewiesene Influenzaviren,3
2009,Mär,J11,"Grippe, Viren nicht nachgewiesen",14
2009,Mär,J20-J22,Sonstige akute Infektionen der unteren Atemwege,110
2009,Mär,J40-J47,Chronische Krankheiten der unteren Atemwege,2994
2009,Mär,K00-K93,KAPITEL XI: Krankheiten des Verdauungssystems,3797
2009,Mär,K70-K77,Krankheiten der Leber,1333
2009,Mär,N00-N99,KAPITEL XIV: Krankheiten des Urogenitalsystems,1589
2009,Mär,O00-O99,"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett",1
2009,Mär,P00-P96,"KAPITEL XVI: Bestimmte Zustände, die ihren Ursprung in der Perinatalperiode haben",95
2009,Mär,Q00-Q99,"KAPITEL XVII: Angeborene Fehlbildungen, Deformitäten und Chromosomenanomalien",145
2009,Mär,R00-R99,"KAPITEL XVIII: Symptome und abnorme klinische und Laborbefunde, die a.n.k. sind",2014
2009,Mär,R95,Plötzlicher Kindstod,17
2009,Mär,S00-T98,"KAPITEL XIX: Verletzungen, Vergiftungen und bestimmte andere Folgen äußerer Ursachen",2560
2009,Mär,S00-S09,Verletzungen des Kopfes,489
2009,Mär,S70-S79,Verletzungen der Hüfte und des Oberschenkels,326
2009,Mär,T00-T07,Verletzungen mit Beteiligung mehrerer Körperregionen,314
2009,Mär,T20-T32,Verbrennungen oder Verätzungen,36
2009,Mär,T33-T35,Erfrierungen,0
2009,Mär,T51-T65,Toxische Wirkungen von vorwiegend nicht medizinisch verwendeten Substanzen,90
2009,Mär,T66-T78,Sonstige und n.n.bez. Schäden durch äußere Ursachen,558
2009,Mär,V01-V99,Transportmittelunfälle,303
2009,Mär,W00-W19,Stürze,636
2009,Mär,W65-W74,Unfälle durch Ertrinken und Untergehen,30
2009,Mär,X60-X84,Vorsätzliche Selbstbeschädigung,824
2009,Mär,X85-Y09,Tätlicher Angriff,62
2009,Mär,Y10-Y34,"Ereignis, dessen nähere Umstände unbestimmt sind",206
2009,Apr,Insgesamt,Insgesamt,69143
2009,Apr,A00-B99,KAPITEL I: Bestimmte infektiöse und parasitäre Krankheiten,1242
2009,Apr,A00-A09,Infektiöse Darmkrankheiten,227
2009,Apr,A15-A19,Tuberkulose,17
2009,Apr,B15-B19,Virushepatitis,82
2009,Apr,B20-B24,HIV-Krankheit (Humane Immundefizienz-Viruskrankheit),29
2009,Apr,C00-D48,KAPITEL II: Neubildungen,17969
2009,Apr,C00-C97,Bösartige Neubildungen,17481
2009,Apr,C15-C26,Bösartige Neubildungen der Verdauungsorgane,5538
2009,Apr,C30-C39,Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe,3610
2009,Apr,C43-C44,Melanom und sonstige bösartige Neubildungen der Haut,290
2009,Apr,C50,Bösartige Neubildung der Brustdrüse,1440
2009,Apr,C51-C58,Bösartige Neubildungen der weiblichen Genitalorgane,846
2009,Apr,C60-C63,Bösartige Neubildungen der männlichen Genitalorgane,1034
2009,Apr,C64-C68,Bösartige Neubildungen der Harnorgane,1012
2009,Apr,C81-C96,"Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes",1323
2009,Apr,D50-D89,KAPITEL III: Krankheiten des Blutes und der blutbildenden Organe sowie bestimmte Störungen mit Beteiligung des Immunsystems,183
2009,Apr,E00-E90,"KAPITEL IV: Endokrine, Ernährungs- und Stoffwechselkrankheiten",2340
2009,Apr,E10-E14,Diabetes mellitus,1918
2009,Apr,F00-F99,KAPITEL V: Psychische und Verhaltensstörungen,1766
2009,Apr,F10-F19,Psychische und Verhaltensstörungen durch psychotrope Substanzen,483
2009,Apr,F10,Psychische und Verhaltensstörungen durch Alkohol,399
2009,Apr,G00-G99,KAPITEL VI: Krankheiten des Nervensystems,1612
2009,Apr,I00-I99,KAPITEL IX: Krankheiten des Kreislaufsystems,28919
2009,Apr,I10-I15,Hypertonie (Hochdruckkrankheit),2308
2009,Apr,I20-I25,Ischämische Herzkrankheiten,11039
2009,Apr,I21,Akuter Myokardinfarkt,4622
2009,Apr,I22,Rezidivierender Myokardinfarkt,338
2009,Apr,I30-I52,Sonstige Formen der Herzkrankheit,7604
2009,Apr,I60-I69,Zerebrovaskuläre Krankheiten,5029
2009,Apr,I64,"Schlaganfall, nicht als Blutung oder Infarkt bez.",2033
2009,Apr,I70-I79,"Krankheiten der Arterien, Arteriolen und Kapillaren",1705
2009,Apr,J00-J99,KAPITEL X: Krankheiten des Atmungssystems,5071
2009,Apr,J00-J06,Akute Infektionen der oberen Atemwege,5
2009,Apr,J10-J18,Grippe und Pneumonie,1744
2009,Apr,J10,Grippe durch nachgewiesene Influenzaviren,0
2009,Apr,J11,"Grippe, Viren nicht nachgewiesen",4
2009,Apr,J20-J22,Sonstige akute Infektionen der unteren Atemwege,61
2009,Apr,J40-J47,Chronische Krankheiten der unteren Atemwege,2387
2009,Apr,K00-K93,KAPITEL XI: Krankheiten des Verdauungssystems,3424
2009,Apr,K70-K77,Krankheiten der Leber,1254
2009,Apr,N00-N99,KAPITEL XIV: Krankheiten des Urogenitalsystems,1523
2009,Apr,O00-O99,"KAPITEL XV: Schwangerschaft, Geburt und Wochenbett",2
